Stock1,Stock2
2609.63,1447.16
2602.68,1447.16
2504.65,1411.63
2499.46,1416.18
2440.51,1390.19
2474.55,1409.13
2488.52,1420.33
2439.94,1401.02
2478.3,1416.25
2417.59,1380.95
2394.59,1373.2
2346.9,1333.25
2340.02,1325.19
2292.27,1310.5
2316.41,1338.6
2360.92,1352.07
2326.2,1330.61
2349.91,1353.97
2358.06,1362.3
2349,1355.81
2389.86,1378.55
2413.36,1395.42
2382.85,1380.82
2309.57,1336.64
2278.75,1326.45
2293.03,1336.91
2304.85,1331.29
2320.06,1339.13
2320.04,1348.86
2373.93,1367.21
2332.54,1348.86
2321.8,1349.99
2306.2,1348.78
2327.1,1360.03
2299.78,1342.53
2303.35,1353.11
2327.48,1371.8
2344.99,1381.29
2353.78,1380.02
2331.57,1367.68
2271.48,1330.63
2258.6,1331.34
2260.28,1326.75
2272.81,1333.7
2220.5,1304.34
2212.49,1293.37
2169.34,1273.37
2255.76,1320.65
2243.87,1308.77
2263.61,1315.48
2212.49,1288.14
2177.01,1276.6
2268.26,1330.74
2209.96,1298.42
2258.11,1329.51
2326.75,1349.88
2341.05,1352.99
2324.36,1341.13
2280.83,1325.76
2261.18,1315.22
2279.1,1322.7
2362.75,1370.18
2361.4,1367.53
2363.3,1369.31
2370.98,1370.4
2364.83,1372.54
2348.76,1365.54
2322.12,1354.49
2351.7,1360.55
2290.24,1332.83
2275.82,1328.32
2286.04,1334.43
2350.11,1364.71
2341.83,1365.56
2402.97,1390.33
2408.04,1388.17
2376.94,1375.94
2405.21,1379.93
2428.92,1388.82
2422.93,1397.84
2424.4,1396.37
2426.1,1390.94
2412.8,1385.59
2480.71,1409.34
2476.99,1413.9
2464.12,1407.49
2483.31,1418.26
2438.49,1392.57
2451.24,1397.68
2445.52,1388.28
2488.49,1403.58
2495.12,1403.04
2496.7,1408.66
2533.73,1423.57
2528.85,1425.35
2516.09,1426.63
2492.26,1413.4
2448.27,1390.71
2464.58,1394.35
2444.67,1375.93
2481.24,1385.35
2486.7,1390.84
2508.32,1398.26
2522.66,1400.38
2491.53,1385.67
2480.48,1377.65
2503.14,1377.2
2549.94,1404.05
2474.56,1360.68
2459.46,1361.76
2448.94,1358.44
2394.01,1335.49
2404.35,1339.87
2454.5,1360.03
2474.78,1360.14
2457.73,1350.93
2429.71,1337.81
2462.06,1342.83
2406.09,1317.93
2385.74,1318
2368.28,1314.29
2401.26,1321.97
2321.37,1283.15
2315.63,1278.38
2292.98,1280
2304.97,1284.91
2251.46,1261.52
2245.38,1262.9
2243.32,1252.31
2294.44,1273.7
2234.89,1244.69
2257.85,1253.39
2239.08,1239.49
2212.87,1228.3
2215.71,1214.91
2284.85,1245.36
2312.3,1260.32
2282.78,1260.68
2279.53,1260
2303.96,1277
2325.88,1282.19
2280.11,1252.54
2310.53,1257.76
2264.22,1234.37
2319.62,1263.2
2329.72,1284.26
2325.55,1267.38
2310.96,1260.31
2285.56,1249.01
2349.83,1284.88
2378.37,1289.19
2355.73,1266.07
2414.1,1296.32
2439.95,1305.32
2430.61,1289.59
2428.62,1285.83
2453.67,1292.93
2452.52,1298.2
2416.98,1278.6
2384.36,1266.69
2389.08,1274.54
2380.38,1277.72
2414.71,1292.2
2365.59,1266.84
2361.97,1271.51
2382.46,1281.66
2411.64,1300.68
2367.52,1282.83
2349.24,1277.58
2333.73,1274.98
2259.04,1236.83
2255.88,1242.31
2269.76,1267.79
2209.81,1224.51
2228.7,1232.04
2258.22,1249.05
2261.27,1251.7
2179.91,1192.7
2207.9,1213.59
2098.85,1156.39
