Stock1,Stock2
4.199557726,3.680929881
4.193756649,3.680656356
4.178981837,3.672151448
4.178426108,3.671732712
4.174231397,3.669970156
4.174432856,3.669343849
4.18051152,3.67330389
4.18151174,3.674525879
4.170461504,3.668295507
4.17300406,3.668651445
4.161574617,3.66059135
4.156557025,3.656362725
4.150879805,3.651542582
4.138899877,3.6432493
4.141610605,3.644451392
4.131595891,3.639132734
4.131686658,3.638482268
4.125571694,3.636137712
4.138951917,3.646585053
4.15350633,3.654710656
4.156730826,3.657681016
4.158891466,3.661754019
4.142352543,3.651029775
4.149157814,3.653263661
4.146613863,3.651653013
4.152118569,3.655286377
4.161079475,3.661545782
4.151848934,3.653606096
4.139600482,3.64528862
4.139593239,3.64361748
4.150442038,3.650411469
4.149960476,3.65079401
4.137250273,3.64149989
4.131877432,3.638376426
4.126505448,3.633948944
4.115193988,3.625878106
4.129483328,3.632325668
4.136549986,3.641934932
4.138346915,3.640872821
4.131376752,3.634100248
4.138366495,3.642122094
4.131552585,3.639833985
4.124290285,3.636374544
4.108259151,3.623361986
4.107058958,3.620208952
4.122397752,3.631228598
4.118263403,3.629360662
4.108693872,3.623694731
4.099722757,3.620459833
4.112223486,3.629659298
4.128287773,3.639273274
4.134010628,3.644603019
4.142822293,3.649638564
4.141087763,3.649449747
4.149490693,3.654331551
4.143720346,3.648968573
4.152038706,3.655153808
4.151348396,3.657348473
4.157000171,3.660440458
4.164936679,3.665731045
4.15963546,3.662989079
4.152915477,3.656137507
4.154165206,3.657616057
4.162341826,3.661115742
4.152415861,3.655630101
4.142665349,3.651389482
4.142930433,3.65323278
4.137069131,3.652079942
4.12749225,3.644687671
4.126182402,3.64320091
4.13492866,3.648027087
4.125516398,3.642720669
4.124907032,3.642631677
4.134166266,3.649550005
4.128821402,3.649281299
4.119739086,3.642826446
4.108541008,3.630608878
4.114105347,3.633076404
4.096588168,3.620677284
4.096525231,3.621587524
4.109630173,3.632204133
4.091126479,3.616152955
4.098159676,3.618610745
4.099119632,3.620706408
4.112767831,3.633485625
4.09052927,3.617720421
4.084385361,3.615249147
4.065327579,3.601107843
4.069581895,3.602173979
4.055540397,3.594964602
4.055797132,3.594401391
4.072065991,3.6046461
4.066802456,3.602928796
4.078620645,3.611601179
4.057595744,3.593693581
4.056466526,3.591152571
4.055172604,3.591216027
4.062027764,3.599200541
4.051709992,3.595659327
4.058226294,3.599744469
4.069692142,3.608294919
4.083901257,3.618909552
4.082116904,3.616176078
4.0789807,3.612914126
4.090501415,3.62084576
4.079641716,3.61368752
4.08139664,3.615047928
4.085477174,3.619164315
4.082292292,3.614451097
4.070194184,3.603990476
4.054613821,3.591160364
4.033794758,3.573988415
4.034562285,3.572346416
4.045289721,3.578638064
4.027190541,3.564283669
4.0333574,3.565238435
4.044120158,3.575740756
4.043483313,3.575175139
4.050464441,3.579295312
4.064743182,3.592369981
4.061623976,3.591076856
4.048501622,3.582239546
4.048359831,3.581930326
4.042525898,3.578109483
4.046411263,3.582668906
4.053932356,3.583356361
4.055449051,3.58490538
4.065256581,3.591356266
4.065777959,3.59099556
4.055859764,3.585960163
4.051720787,3.581926914
4.051059091,3.579986982
4.051198459,3.578682752
4.058897267,3.586942696
4.055380243,3.583295147
4.068673705,3.595131217
4.075461189,3.597684219
4.081333263,3.601945974
4.073135602,3.597873912
4.071243714,3.598444684
4.063054375,3.59340238
4.080352983,3.604615879
4.085026067,3.609853628
4.093095492,3.615980546
4.092333887,3.614752779
4.09162335,3.611849649
4.10271354,3.618588797
4.104506914,3.618251069
4.102349652,3.617544442
4.101900287,3.617006635
4.096699068,3.615157504
4.109065324,3.624306853
4.106527795,3.624000384
4.115516987,3.631458989
4.118200222,3.633179503
4.117355826,3.633993332
4.111871175,3.630838582
4.11278391,3.631823104
4.10398219,3.626184281
4.092775717,3.616789437
4.092766247,3.615816483
4.094524582,3.617081108
4.101721991,3.623158286
4.084279856,3.608275654
4.079820274,3.605370778
4.074931214,3.600554727
4.072477833,3.597146488
4.071334378,3.598445779
4.065611828,3.593757774
4.062390552,3.591975669
4.071583788,3.599868886
4.074162679,3.602730458
4.083226978,3.609312613
4.088717477,3.613885143
4.065713007,3.594689714
4.068915754,3.596158182
4.062670714,3.591214914
4.058744795,3.5880845
4.062018352,3.591052358
4.057858109,3.586129141
4.050000211,3.578631189
4.044022454,3.57495562
4.036146832,3.567406355
4.03354116,3.562892134
4.034608406,3.561970296
4.04342673,3.570430849
4.030903581,3.561157457
4.024305837,3.554564262
4.034043791,3.565662496
4.048302325,3.578745765
4.047221892,3.577868485
4.044277458,3.573396155
4.027447466,3.561060816
4.022927132,3.557794631
4.018125635,3.554954097
4.017746833,3.553522583
4.027314944,3.564655414
4.013738188,3.554255293
4.028400429,3.565605821
4.032312471,3.570540605
4.028591991,3.567633248
4.025913452,3.564166397
4.035818628,3.574349634
4.039517624,3.579479484
4.049183898,3.586487158
4.040245819,3.583266804
4.033128898,3.580617099
4.045418826,3.59118263
4.040924579,3.587933105
4.037061777,3.586148288
4.022213852,3.575152037
4.014644005,3.570530098
4.020164397,3.576404704
4.02384977,3.580560061
4.025969092,3.582984409
4.015073345,3.573865625
4.045876254,3.5972969
4.053974164,3.601291697
4.049071424,3.597393488
4.055317541,3.601161158
4.048583955,3.597562465
4.047078514,3.59621871
4.047121377,3.598280431
4.042359296,3.596590499
4.048224602,3.602448511
4.052513878,3.605009669
4.050238965,3.604886715
4.043342626,3.598127072
4.040751826,3.597435189
4.059487684,3.610671872
4.060034563,3.610294904
4.059241459,3.609775772
4.050763993,3.601934028
4.041980164,3.595635086
4.039753094,3.594825524
4.044618146,3.598079958
4.041575051,3.594876304
4.047030971,3.601033845
4.051415336,3.60418824
4.048087775,3.601551569
4.033846986,3.590591079
4.029603305,3.585726865
4.023089002,3.581797248
4.023133475,3.582247501
4.029763923,3.588657077
4.020200464,3.582334996
4.021100777,3.584876013
4.015075862,3.583113721
4.009165664,3.577861597
4.020282124,3.585379503
4.019800648,3.584274672
4.016489295,3.582533783
4.019480197,3.585795628
4.013058111,3.580708344
4.024045814,3.590516382
4.026764037,3.590182874
4.031110618,3.593202967
4.038686513,3.598747841
4.041436112,3.600228842
4.044506834,3.601961178
4.045131612,3.601078463
4.039692058,3.594266554
4.03552059,3.590936527
4.046901954,3.599075931
4.055546894,3.604205526
4.054393554,3.603896426
4.053591607,3.603817495
